Name of Center,Attached Colleges,District,Course,Subject,Subject Code,Date,Time
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0833-JANHIT INSTITUTE OF EDUCATION & INFORMATION, 38-B, PHASE-1, KNOWLEGE PARK-I, GARTER NOIDA",Noida,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0833-JANHIT INSTITUTE OF EDUCATION & INFORMATION, 38-B, PHASE-1, KNOWLEGE PARK-I, GARTER NOIDA",Noida,M.A.,Education,G-804,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0948-NOIDA COLLEGE OF PHYSICAL EDUCATION, NAVODY VIDYALAYA ROAD, DHOOM MANIKPUR, DADRI, (G.B. NARAG)",Noida,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0948-NOIDA COLLEGE OF PHYSICAL EDUCATION, NAVODY VIDYALAYA ROAD, DHOOM MANIKPUR, DADRI, (G.B. NARAG)",Noida,M.A.,Education,G-804,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0977-CHET RAM SHARMA COLLEGE OF EDUCATION, SADARPUR, SECTOR-44, NOIDA",Noida,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0977-CHET RAM SHARMA COLLEGE OF EDUCATION, SADARPUR, SECTOR-44, NOIDA",Noida,M.A.,Education,G-804,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0019-M.M.H. COLLEGE, GHAZIABAD",Ghaziabad,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0019-M.M.H. COLLEGE, GHAZIABAD",Ghaziabad,M.A.,Education,G-804,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0024-S.D. COLLEGE, GHAZIABAD",Ghaziabad,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0025-V.M.L.G. COLLEGE, GHAZIABAD",Ghaziabad,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0059-TEJPAL SINGH TYAGI KUSHAL PAL TYAGI MEMORIAL DEGREE COLLEGE, MURADNAGAR, GHAZIABAD",Ghaziabad,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0059-TEJPAL SINGH TYAGI KUSHAL PAL TYAGI MEMORIAL DEGREE COLLEGE, MURADNAGAR, GHAZIABAD",Ghaziabad,M.A.,Education,G-804,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0061-JANTA DEGREE COLLEGE, PATLA (GHAZIABAD)",Ghaziabad,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0061-JANTA DEGREE COLLEGE, PATLA (GHAZIABAD)",Ghaziabad,M.A.,Education,G-804,01.01.2025,10:00 AM Onwards
